
MDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-9-27,22,18,14,6,3,0,48,36,28,1009,1007,1006,16,16,16,35,21,48,0.00,1,,211<br />
2002-9-28,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2002-9-30,14,12,10,10,7,2,100,75,44,1016,1014,1013,16,16,16,19,11,27,0.00,6,,334<br />
2002-10-1,11,8,6,10,7,6,100,98,88,1012,1012,1010,16,15,4,24,14,27,0.00,8,,341<br />
2002-10-2,13,9,5,8,6,4,100,85,66,1014,1012,1010,16,12,1,27,6,34,0.00,5,,2<br />
2002-10-3,13,10,8,6,4,1,87,70,47,1019,1013,1009,16,16,16,29,16,37,0.00,6,,328<br />
2002-10-4,14,11,9,8,7,6,87,75,59,1021,1020,1018,16,16,16,21,11,,0.00,7,,182<br />
2002-10-5,17,12,7,8,7,6,93,77,52,1024,1022,1020,16,16,16,23,11,,0.00,4,,221<br />
2002-10-6,18,12,6,9,8,4,93,73,52,1028,1027,1024,16,16,16,21,11,,0.00,0,,280<br />
2002-10-7,20,13,6,9,7,5,93,73,46,1027,1024,1020,16,16,16,16,8,,0.00,0,,242<br />
2002-10-8,14,10,8,8,6,4,82,75,67,1021,1020,1020,16,16,16,14,11,,0.00,0,,198<br />
